label,area,perimeter,solidity,extent,mean_intensity,max_intensity,min_intensity,eccentricity,major_axis_length,minor_axis_length,orientation,circularity,intensity_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation
46,898.0,119.9827560572969,0.9286452947259566,0.6578754578754579,39.70824053452116,115.0,0.0,0.7390059211158276,42.09167454391508,28.35711611065971,0.5151138532110602,0.7838781037771843,19.504940811444573,406.6756126021004,0.06467611580433141,0.03386913716149357,0.44768813887528586
47,1628.0,151.6812408671319,0.975434391851408,0.7178130511463845,87.28378378378379,255.0,6.0,0.5995193773667967,50.95631831738201,40.78341123406205,-0.004091322600559687,0.8892021801723118,36.34981295211155,900.1404066073698,0.042036518964251854,0.023343294880398775,0.6568022708321748
48,1909.0,173.3380951166243,0.9545,0.6674825174825175,40.06600314300681,177.0,0.0,0.7278176259928524,60.319665284699276,41.365461298909025,0.8232147311342639,0.7984132822661547,25.19495159676481,461.99945711183494,0.06374164223326041,0.027920501347717244,0.6372724554940622
49,1001.0,119.39696961966999,0.9671497584541063,0.7398373983739838,26.925074925074924,85.0,0.0,0.6141669380775651,40.295876210165694,31.800543847012314,0.2788402305521862,0.8823834076776228,13.962321948200286,266.96631578947364,0.09302780070144749,0.03781424199302327,0.28966333139135747
50,1493.0,151.4386001800126,0.9342928660826032,0.6653297682709447,68.71064969859344,250.0,2.0,0.6018886161635808,49.5087039161074,39.5366631704807,-0.18418236102825636,0.8180813622970071,39.56466893467085,655.6914008321778,0.05016048966045543,0.025162000771881746,0.7919644603637246
51,956.0,129.3319984622144,0.9113441372735939,0.5857843137254902,56.43200836820084,155.0,5.0,0.7731184901823727,45.01506946879556,28.55133079815005,0.30623969215830993,0.7182171635647802,25.706310797057384,558.6773127753304,0.054741048160254505,0.030181034374547847,0.5775938023910833
52,2128.0,184.71067811865476,0.9743589743589743,0.7794871794871795,84.92528195488721,234.0,1.0,0.8370524889429676,70.90514297160894,38.79380561378461,0.006021038728453794,0.7837859645846338,30.281131993499173,887.9854227405247,0.04112340924360139,0.02168971245934465,0.51229569264077
53,2049.0,177.78174593052023,0.9738593155893536,0.7302209550962224,81.34895070766227,253.0,9.0,0.7460864185901421,63.69322125869271,42.41007558288864,0.3460969344088316,0.8146620553107872,36.33718710277033,859.9502012072435,0.050325518194634745,0.021403405745868496,0.6743494671040663
54,2442.0,196.0243866176395,0.9705882352941176,0.7602739726027398,40.11056511056511,128.0,0.0,0.8182678533211546,74.24255052095945,42.67737429044978,-0.0975480109682301,0.7986110526798923,22.747358545793205,411.5095298602287,0.07049471810856348,0.026231009604720055,0.5993024361810662
55,2848.0,204.55129855222071,0.9776862341228973,0.7037311588831233,66.10147471910112,255.0,0.0,0.6414554270866488,69.04937537701848,52.97193994150044,-0.47597253490184266,0.8553529690974253,42.96680058930829,690.4117435158502,0.05067609550736297,0.02111731568761821,0.8144605891228229
